id	name	valenceRank	arousalRank	valenceValue	arousalValue	valenceVariance	arousalVariance
0	ACCEDE00000.mp4	3755	787	2.76433958524	1.36693759775	0.118453408618	0.14890605749
1	ACCEDE00001.mp4	6711	6428	3.26009295274	2.79237604301	0.10421119268	0.154526469488
2	ACCEDE00002.mp4	5043	3591	3.04752770002	1.84016044633	0.109840928472	0.14931005472
3	ACCEDE00003.mp4	7584	5615	3.3384607354	2.47082101191	0.100952878594	0.164621475046
4	ACCEDE00004.mp4	5014	4463	3.04249595674	2.08215107585	0.109999921942	0.163321069388
5	ACCEDE00005.mp4	3098	2921	2.57023116189	1.68479010416	0.120812803423	0.13351952032
6	ACCEDE00006.mp4	8492	6256	3.42458485344	2.72108565413	0.103986502173	0.157235027504
7	ACCEDE00007.mp4	6413	2737	3.23061890905	1.64676970366	0.10510442455	0.12910113896
8	ACCEDE00008.mp4	6817	3895	3.27006793481	1.919416089	0.10385346409	0.155312628013
9	ACCEDE00009.mp4	4558	2969	2.95559844032	1.69503789979	0.112875235247	0.134693220906
10	ACCEDE00010.mp4	5994	1123	3.18430784681	1.39911213704	0.106214393378	0.13124727938
11	ACCEDE00011.mp4	4299	4700	2.89939641164	2.15569671246	0.114723157224	0.165258218847
12	ACCEDE00012.mp4	7002	562	3.28700639515	1.34912619285	0.10317678608	0.164255140881
13	ACCEDE00013.mp4	6928	7706	3.28029329525	3.37689948491	0.103454955334	0.134911901679
14	ACCEDE00014.mp4	6669	8107	3.25607518127	3.58022354865	0.10434670445	0.134699007421
15	ACCEDE00015.mp4	1105	2881	1.80861621609	1.67635440473	0.0969857449098	0.13254568807
16	ACCEDE00016.mp4	3458	886	2.68074333739	1.37572350276	0.119965734676	0.14302182704
17	ACCEDE00017.mp4	3956	1719	2.81696077526	1.47261586777	0.117161646464	0.116681415171
18	ACCEDE00018.mp4	8930	16	3.47372019607	1.31835705816	0.114462972753	0.211565432379
19	ACCEDE00019.mp4	9274	2440	3.51738358167	1.58962587957	0.129311867025	0.122647468566
20	ACCEDE00020.mp4	3782	4527	2.77159414546	2.10168396388	0.118289822494	0.163929060244
21	ACCEDE00021.mp4	3446	4765	2.6772202641	2.17644816046	0.120013588571	0.165637903985
22	ACCEDE00022.mp4	7007	7749	3.28745738886	3.39824692212	0.103157668181	0.134635833225
23	ACCEDE00023.mp4	4952	4792	3.03154630244	2.18514147554	0.110350396816	0.165776295198
24	ACCEDE00024.mp4	5597	555	3.13336454008	1.34862010216	0.1074057414	0.164774661078
25	ACCEDE00025.mp4	472	9683	1.53434860023	4.47149426076	0.0951476755916	0.207428911704
26	ACCEDE00026.mp4	1104	8824	1.80818899628	3.96748654629	0.0969702499333	0.152009521361
27	ACCEDE00027.mp4	3625	2489	2.7286032322	1.59869416248	0.119186136156	0.123622468318
