id	name	colorfulness	alpha	hueCount	maxSaliencyCount	compositionalBalance	depthOfField	saliencyDisparity	spatialEdgeDistributionArea	entropyComplexity	nbWhiteFrames	nbFades	nbSceneCuts	asymmetry_env	flatness	zcr	colorStrength	colorRawEnergy
0	ACCEDE00000.mp4	47.939117	5	100	0.002094	4.59312	110.988586	0.015579	0.842532	12.011075	0	0	1	19.727504	0.000287	0.319205	0.113005	162.118626
1	ACCEDE00001.mp4	52.748894	41	45	0.004708	1.085655	125.017303	0.022905	0.860802	12.795528	0	0	1	57.945141	0	0.194707	0.072096	11.467636
2	ACCEDE00002.mp4	60.224403	50	44	0.005028	0.669111	113.94838	0.030379	0.931222	18.025742	0	0	3	64.968688	0	0.105172	0.125031	10.373964
3	ACCEDE00003.mp4	82.669434	43	40	0.023213	1.082695	76.944817	0.252079	0.877269	10.104119	0	2	1	73.747041	0	0.067364	0.109738	11.066415
4	ACCEDE00004.mp4	64.427177	38	58	0.01336	1.425273	115.271156	0.185855	0.844174	12.164057	0	0	1	77.877285	0	0.065708	0.094776	14.940337
5	ACCEDE00005.mp4	59.896679	31	32	0.006994	0.177729	86.510483	0.028485	0.914522	12.127919	0	0	1	61.201109	0	0.108945	0.11474	7.500135
6	ACCEDE00006.mp4	44.781807	48	42	0.00497	0.592347	86.215561	0.023059	0.904306	9.870523	0	0	1	67.58923	0	0.091433	0.087971	109.238624
7	ACCEDE00007.mp4	56.581673	42	29	0.007887	2.069178	127.74588	0.178086	0.896113	15.653535	0	0	3	61.027498	0.000364	0.093928	0.112976	9.879506
8	ACCEDE00008.mp4	66.858261	39	60	0.002402	2.664612	100.417007	0.121883	0.859941	11.680778	0	0	0	71.461362	0	0.061531	0.104077	16.947863
9	ACCEDE00009.mp4	57.232445	32	28	0.034516	0.272447	63.034794	0.115986	0.900988	11.770524	0	0	0	72.009686	0	0.10164	0.122084	6.841038
10	ACCEDE00010.mp4	55.741066	32	31	0.014811	0.276807	64.51712	0.086449	0.895781	11.943383	0	0	0	63.29082	0	0.128786	0.118541	7.704403
11	ACCEDE00011.mp4	57.119896	41	53	0.001218	1.701322	212.414261	0.015183	0.941805	8.258511	0	0	5	113.014642	0	0.086313	0.071569	19.581127
12	ACCEDE00012.mp4	53.472397	40	38	0.004052	2.113045	112.667686	0.030986	0.904597	13.048941	0	0	1	60.882816	0	0.199696	0.065623	10.247111
13	ACCEDE00013.mp4	82.004982	41	41	0.00143	0.411173	55.722038	0.099463	0.891655	11.67606	0	0	3	100.12239	0	0.056817	0.138406	10.503655
14	ACCEDE00014.mp4	42.235054	43	47	0.004392	3.222927	174.679382	0.05755	0.853156	13.227901	0	0	2	108.150207	0	0.097466	0.08124	15.079681
15	ACCEDE00015.mp4	89.741394	39	45	0.001662	7.254783	197.650024	0.019259	0.938585	10.23356	0	0	3	239.299219	0.000712	0.084305	0.108821	22.012485
16	ACCEDE00016.mp4	64.568863	41	57	0.001758	0.677757	255	0.240539	0.935365	7.66796	0	0	3	110.892221	0	0.177066	0.066282	35.546322
17	ACCEDE00017.mp4	74.719986	43	43	0.008128	0.521224	82.795815	0.118059	0.939478	12.893633	0	0	2	63.688335	0	0.159584	0.113885	10.951492
18	ACCEDE00018.mp4	40.207561	61	77	0.034545	0.568993	13.510188	0.116713	0.869089	2.529352	5	4	7	56.374151	0	0.16373	0.078842	19.896918
19	ACCEDE00019.mp4	32.266323	39	39	0.007779	1.486658	130.452927	0.07051	0.82346	7.291376	0	0	2	51.036344	0	0.138488	0.048022	25.982136
20	ACCEDE00020.mp4	81.678032	25	34	0.151164	0.139664	83.86557	0.273218	0.931836	10.118099	0	0	1	29.391305	0.014038	0.215397	0.154869	7.589529
21	ACCEDE00021.mp4	34.275852	44	61	0.004505	0.583786	172.115295	0.077345	0.93232	13.979059	0	0	2	36.103357	0	0.204389	0.065401	102.099168
